table_key,report_id,line_position,source_path,anomaly
ASM_financial_statements_2016_consolidated|1265,ASM_financial_statements_2016_consolidated,1265,financial_statements/ASM/2016/ASM_financial_statements_2016_consolidated/ASM_financial_statements_2016_consolidated_extracted.txt,n_rows>200:258
ASM_financial_statements_2017_consolidated|1238,ASM_financial_statements_2017_consolidated,1238,financial_statements/ASM/2017/ASM_financial_statements_2017_consolidated/ASM_financial_statements_2017_consolidated_extracted.txt,n_rows>200:851
ASM_financial_statements_2019_consolidated|1231,ASM_financial_statements_2019_consolidated,1231,financial_statements/ASM/2019/ASM_financial_statements_2019_consolidated/ASM_financial_statements_2019_consolidated_extracted.txt,n_rows>200:310
BAB_financial_statements_2019_separate|1213,BAB_financial_statements_2019_separate,1213,financial_statements/BAB/2019/BAB_financial_statements_2019_separate/BAB_financial_statements_2019_separate_extracted.txt,n_rows>200:364
DCM_financial_statements_2018_consolidated|1128,DCM_financial_statements_2018_consolidated,1128,financial_statements/DCM/2018/DCM_financial_statements_2018_consolidated/DCM_financial_statements_2018_consolidated_extracted.txt,n_rows>200:242
DCM_financial_statements_2021_consolidated|1499,DCM_financial_statements_2021_consolidated,1499,financial_statements/DCM/2021/DCM_financial_statements_2021_consolidated/DCM_financial_statements_2021_consolidated_extracted.txt,n_rows>200:609
DIG_financial_statements_2021_consolidated|1463,DIG_financial_statements_2021_consolidated,1463,financial_statements/DIG/2021/DIG_financial_statements_2021_consolidated/DIG_financial_statements_2021_consolidated_extracted.txt,n_rows>200:312
DNH_financial_statements_2021_separate|206,DNH_financial_statements_2021_separate,206,financial_statements/DNH/2021/DNH_financial_statements_2021_separate/DNH_financial_statements_2021_separate_extracted.txt,n_rows>200:225
DXG_financial_statements_2019_consolidated|300,DXG_financial_statements_2019_consolidated,300,financial_statements/DXG/2019/DXG_financial_statements_2019_consolidated/DXG_financial_statements_2019_consolidated_extracted.txt,n_rows>200:216
DXG_financial_statements_2019_separate|1322,DXG_financial_statements_2019_separate,1322,financial_statements/DXG/2019/DXG_financial_statements_2019_separate/DXG_financial_statements_2019_separate_extracted.txt,n_rows>200:244
DXS_financial_statements_2020_consolidated|1452,DXS_financial_statements_2020_consolidated,1452,financial_statements/DXS/2020/DXS_financial_statements_2020_consolidated/DXS_financial_statements_2020_consolidated_extracted.txt,n_rows>200:251
FOX_financial_statements_2022_consolidated|1067,FOX_financial_statements_2022_consolidated,1067,financial_statements/FOX/2022/FOX_financial_statements_2022_consolidated/FOX_financial_statements_2022_consolidated_extracted.txt,n_rows>200:368
GEX_financial_statements_2016_separate|959,GEX_financial_statements_2016_separate,959,financial_statements/GEX/2016/GEX_financial_statements_2016_separate/GEX_financial_statements_2016_separate_extracted.txt,n_rows>200:326
GVR_financial_statements_2016_consolidated|753,GVR_financial_statements_2016_consolidated,753,financial_statements/GVR/2016/GVR_financial_statements_2016_consolidated/GVR_financial_statements_2016_consolidated_extracted.txt,n_rows>200:313
GVR_financial_statements_2019_consolidated|876,GVR_financial_statements_2019_consolidated,876,financial_statements/GVR/2019/GVR_financial_statements_2019_consolidated/GVR_financial_statements_2019_consolidated_extracted.txt,n_rows>200:624
GVR_financial_statements_2022_consolidated|875,GVR_financial_statements_2022_consolidated,875,financial_statements/GVR/2022/GVR_financial_statements_2022_consolidated/GVR_financial_statements_2022_consolidated_extracted.txt,n_rows>200:625
GVR_financial_statements_2022_consolidated|902,GVR_financial_statements_2022_consolidated,902,financial_statements/GVR/2022/GVR_financial_statements_2022_consolidated/GVR_financial_statements_2022_consolidated_extracted.txt,n_rows>200:626
HBC_financial_statements_2016_separate|1278,HBC_financial_statements_2016_separate,1278,financial_statements/HBC/2016/HBC_financial_statements_2016_separate/HBC_financial_statements_2016_separate_extracted.txt,n_rows>200:241
HBC_financial_statements_2018_consolidated|1718,HBC_financial_statements_2018_consolidated,1718,financial_statements/HBC/2018/HBC_financial_statements_2018_consolidated/HBC_financial_statements_2018_consolidated_extracted.txt,n_rows>200:313
HBC_financial_statements_2018_separate|1404,HBC_financial_statements_2018_separate,1404,financial_statements/HBC/2018/HBC_financial_statements_2018_separate/HBC_financial_statements_2018_separate_extracted.txt,n_rows>200:251
HDG_financial_statements_2021_separate|1640,HDG_financial_statements_2021_separate,1640,financial_statements/HDG/2021/HDG_financial_statements_2021_separate/HDG_financial_statements_2021_separate_extracted.txt,n_rows>200:224
