report_id,n_tables,n_ok,n_warn,n_fail
AAA_financial_statements_2015_consolidated,47,47,0,0
AAA_financial_statements_2015_separate,48,48,0,0
AAA_financial_statements_2016_consolidated,48,48,0,0
AAA_financial_statements_2016_separate,48,48,0,0
AAA_financial_statements_2017_consolidated,57,57,0,0
AAA_financial_statements_2017_separate,41,41,0,0
AAA_financial_statements_2018_consolidated,54,54,0,0
AAA_financial_statements_2018_separate,46,46,0,0
AAA_financial_statements_2019_consolidated,71,71,0,0
AAA_financial_statements_2019_separate,51,51,0,0
AAA_financial_statements_2020_consolidated,80,80,0,0
AAA_financial_statements_2020_separate,59,59,0,0
AAA_financial_statements_2021_consolidated,81,81,0,0
AAA_financial_statements_2021_separate,58,58,0,0
AAA_financial_statements_2022_consolidated,83,83,0,0
AAA_financial_statements_2022_separate,61,61,0,0
AAA_financial_statements_2023_consolidated,91,91,0,0
AAA_financial_statements_2023_separate,68,68,0,0
AAA_financial_statements_2024_consolidated,93,93,0,0
AAA_financial_statements_2024_separate,68,68,0,0
AAA_financial_statements_2025_consolidated,33,33,0,0
AAA_financial_statements_2025_separate,70,70,0,0
ABB_financial_statements_2020_consolidated,115,115,0,0
ABB_financial_statements_2020_separate,107,107,0,0
ABB_financial_statements_2021_consolidated,114,114,0,0
ABB_financial_statements_2021_separate,112,112,0,0
ABB_financial_statements_2022_consolidated,120,120,0,0
ABB_financial_statements_2022_separate,118,118,0,0
ABB_financial_statements_2023_consolidated,115,115,0,0
ABB_financial_statements_2023_separate,110,110,0,0
ABB_financial_statements_2024_consolidated,110,110,0,0
ABB_financial_statements_2024_separate,96,96,0,0
ABB_financial_statements_2025_consolidated,121,121,0,0
ABB_financial_statements_2025_separate,119,119,0,0
ACB_financial_statements_2015_consolidated,134,134,0,0
ACB_financial_statements_2015_separate,132,132,0,0
ACB_financial_statements_2016_consolidated,131,131,0,0
ACB_financial_statements_2016_separate,122,122,0,0
ACB_financial_statements_2017_consolidated,113,113,0,0
ACB_financial_statements_2017_separate,102,102,0,0
ACB_financial_statements_2018_consolidated,108,108,0,0
ACB_financial_statements_2018_separate,102,102,0,0
ACB_financial_statements_2019_consolidated,107,107,0,0
ACB_financial_statements_2019_separate,103,103,0,0
ACB_financial_statements_2020_consolidated,112,112,0,0
ACB_financial_statements_2020_separate,102,102,0,0
ACB_financial_statements_2021_consolidated,111,111,0,0
ACB_financial_statements_2021_separate,103,103,0,0
ACB_financial_statements_2022_consolidated,116,116,0,0
ACB_financial_statements_2022_separate,115,115,0,0
ACB_financial_statements_2023_consolidated,116,116,0,0
ACB_financial_statements_2023_separate,107,107,0,0
ACB_financial_statements_2024_consolidated,122,122,0,0
ACB_financial_statements_2024_separate,111,111,0,0
ACB_financial_statements_2025_consolidated,127,127,0,0
ACB_financial_statements_2025_separate,115,115,0,0
ACV_financial_statements_2015_consolidated,58,58,0,0
ACV_financial_statements_2015_separate,54,54,0,0
ACV_financial_statements_2016_separate,59,59,0,0
ACV_financial_statements_2017_consolidated,69,69,0,0
ACV_financial_statements_2017_separate,63,63,0,0
ACV_financial_statements_2018_consolidated,66,66,0,0
ACV_financial_statements_2018_separate,58,58,0,0
ACV_financial_statements_2019_consolidated,65,65,0,0
ACV_financial_statements_2019_separate,58,58,0,0
ACV_financial_statements_2020_consolidated,67,67,0,0
ACV_financial_statements_2020_separate,56,56,0,0
ACV_financial_statements_2021_consolidated,67,67,0,0
ACV_financial_statements_2021_separate,56,56,0,0
ACV_financial_statements_2022_aggregated,60,60,0,0
ACV_financial_statements_2022_consolidated,61,61,0,0
ACV_financial_statements_2023_consolidated,75,75,0,0
ACV_financial_statements_2023_separate,65,65,0,0
ACV_financial_statements_2024_consolidated,66,66,0,0
ACV_financial_statements_2024_separate,65,65,0,0
ACV_financial_statements_2025_consolidated,62,62,0,0
ACV_financial_statements_2025_separate,63,63,0,0
ASM_financial_statements_2015_consolidated,64,64,0,0
ASM_financial_statements_2015_separate,69,69,0,0
ASM_financial_statements_2016_consolidated,80,80,0,0
ASM_financial_statements_2016_separate,59,59,0,0
ASM_financial_statements_2017_consolidated,67,67,0,0
ASM_financial_statements_2017_separate,69,69,0,0
ASM_financial_statements_2018_consolidated,71,71,0,0
ASM_financial_statements_2018_separate,66,66,0,0
ASM_financial_statements_2019_consolidated,67,67,0,0
ASM_financial_statements_2019_separate,69,69,0,0
ASM_financial_statements_2020_consolidated,64,64,0,0
ASM_financial_statements_2020_separate,67,67,0,0
ASM_financial_statements_2021_consolidated,70,70,0,0
ASM_financial_statements_2021_separate,86,86,0,0
ASM_financial_statements_2022_consolidated,72,72,0,0
ASM_financial_statements_2022_separate,81,81,0,0
ASM_financial_statements_2023_consolidated,92,92,0,0
ASM_financial_statements_2023_separate,89,89,0,0
ASM_financial_statements_2024_consolidated,196,196,0,0
ASM_financial_statements_2024_separate,187,187,0,0
ASM_financial_statements_2025_consolidated,100,100,0,0
ASM_financial_statements_2025_separate,92,92,0,0
BAB_financial_statements_2017_consolidated,62,62,0,0
BAB_financial_statements_2017_separate,60,60,0,0
BAB_financial_statements_2018_consolidated,66,66,0,0
BAB_financial_statements_2018_separate,67,67,0,0
BAB_financial_statements_2019_consolidated,71,71,0,0
BAB_financial_statements_2019_separate,67,67,0,0
BAB_financial_statements_2020_consolidated,66,66,0,0
BAB_financial_statements_2020_separate,63,63,0,0
BAB_financial_statements_2021_consolidated,64,64,0,0
BAB_financial_statements_2021_separate,65,65,0,0
BAB_financial_statements_2022_consolidated,68,68,0,0
BAB_financial_statements_2022_separate,65,65,0,0
BAB_financial_statements_2023_consolidated,66,66,0,0
BAB_financial_statements_2023_separate,64,64,0,0
BAB_financial_statements_2024_consolidated,71,71,0,0
