report_id,line_position,page,section_header,status,n_warnings,n_rows,n_cols
AAA_financial_statements_2015_consolidated,19,2,unclassified,success,0,7,2
AAA_financial_statements_2015_consolidated,214,7,balance_sheet,success,0,35,5
AAA_financial_statements_2015_consolidated,239,8,balance_sheet,success,0,26,5
AAA_financial_statements_2015_consolidated,286,9,notes,success,0,24,5
AAA_financial_statements_2015_consolidated,333,10,notes,success,0,37,4
AAA_financial_statements_2015_consolidated,433,12,notes,success,0,5,5
AAA_financial_statements_2015_consolidated,712,17,notes,success,0,7,2
AAA_financial_statements_2015_consolidated,722,17,income_statement,success,0,5,2
AAA_financial_statements_2015_consolidated,860,20,balance_sheet,success,0,5,3
AAA_financial_statements_2015_consolidated,864,20,balance_sheet,success,0,5,3
AAA_financial_statements_2015_consolidated,868,20,balance_sheet,success,0,5,3
AAA_financial_statements_2015_consolidated,872,20,balance_sheet,success,0,7,3
AAA_financial_statements_2015_consolidated,881,21,balance_sheet,success,0,3,2
AAA_financial_statements_2015_consolidated,886,21,balance_sheet,success,0,22,5
AAA_financial_statements_2015_consolidated,895,22,balance_sheet,success,0,2,2
AAA_financial_statements_2015_consolidated,901,22,balance_sheet,success,0,15,8
AAA_financial_statements_2015_consolidated,936,23,balance_sheet,success,0,12,4
AAA_financial_statements_2015_consolidated,942,23,balance_sheet,success,0,9,3
AAA_financial_statements_2015_consolidated,973,24,balance_sheet,success,0,3,3
AAA_financial_statements_2015_consolidated,979,24,balance_sheet,success,0,10,3
AAA_financial_statements_2015_consolidated,986,25,balance_sheet,success,0,2,2
AAA_financial_statements_2015_consolidated,992,25,balance_sheet,success,0,13,5
AAA_financial_statements_2015_consolidated,1010,26,balance_sheet,success,0,13,7
AAA_financial_statements_2015_consolidated,1101,29,balance_sheet,success,0,7,7
AAA_financial_statements_2015_consolidated,1143,30,balance_sheet,success,0,6,3
AAA_financial_statements_2015_consolidated,1166,31,balance_sheet,success,0,16,9
AAA_financial_statements_2015_consolidated,1168,31,balance_sheet,success,0,2,1
AAA_financial_statements_2015_consolidated,1239,33,balance_sheet,success,0,6,3
AAA_financial_statements_2015_consolidated,1243,33,balance_sheet,success,0,11,3
AAA_financial_statements_2015_consolidated,1276,34,income_statement,success,0,9,3
AAA_financial_statements_2015_consolidated,1280,34,income_statement,success,0,5,3
AAA_financial_statements_2015_consolidated,1284,34,income_statement,success,0,7,3
AAA_financial_statements_2015_consolidated,1315,35,income_statement,success,0,5,3
AAA_financial_statements_2015_consolidated,1319,35,income_statement,success,0,15,3
AAA_financial_statements_2015_consolidated,1323,35,income_statement,success,0,3,3
AAA_financial_statements_2015_consolidated,1354,36,income_statement,success,0,7,3
AAA_financial_statements_2015_consolidated,1360,36,income_statement,success,0,9,3
AAA_financial_statements_2015_consolidated,1399,37,income_statement,success,0,9,3
AAA_financial_statements_2015_consolidated,1405,37,income_statement,success,0,4,3
AAA_financial_statements_2015_consolidated,1409,37,income_statement,success,0,4,3
AAA_financial_statements_2015_consolidated,1450,38,notes,success,0,6,3
AAA_financial_statements_2015_consolidated,1458,38,notes,success,0,12,3
AAA_financial_statements_2015_consolidated,1511,39,notes,success,0,11,3
AAA_financial_statements_2015_consolidated,1590,41,notes,success,0,24,4
AAA_financial_statements_2015_consolidated,1625,42,notes,success,0,5,3
AAA_financial_statements_2015_consolidated,1666,43,notes,success,0,9,5
AAA_financial_statements_2015_consolidated,1668,43,notes,success,0,7,5
ACB_financial_statements_2022_consolidated,41,3,notes,success,0,10,3
